Code_commune_Insee_2022,Libelle_commune_2022,Population_active_emploi_1999,Distance_mediane_domicile_travail_1999_km,Population_active_emploi_2019,Distance_mediane_domicile_travail_2019_km,Ecart_distance_mediane_km,Evolution_distance_mediane_pct,Categorie_densite
01002,L'Abergement-de-Varey,32,25.65,111.054917086796,31.3,5.650000000000002,22.02729044834309,Rural à habitat dispersé non périurbain
01004,Ambérieu-en-Bugey,4504,1.9,5865.25695229639,11.6,9.7,510.52631578947364,Urbain
01005,Ambérieux-en-Dombes,568,13.6,864.691358024692,18.2765432098769,4.676543209876899,34.386347131447785,Bourgs ruraux périurbains
01006,Ambléon,28,62.9,56,14,-48.9,-77.74244833068363,Rural à habitat dispersé non périurbain
01007,Ambronay,933,7.2,1270,14,6.8,94.44444444444444,Rural à habitat dispersé non périurbain
01008,Ambutrix,268,5.3,418.423339725117,15,9.7,183.01886792452828,Urbain
01009,Andert-et-Condon,112,6.5,141.174696551583,6.5,0,0,Rural à habitat dispersé non périurbain
01010,Anglefort,304,8.7,420.84475208035,11.9,3.200000000000001,36.78160919540232,Bourgs ruraux non périurbains
01011,Apremont,168,8.45,127.146430686979,7.2,-1.2499999999999991,-14.792899408284015,Rural à habitat dispersé périurbain
01012,Aranc,108,10.8,121.188011898933,10.8,0,0,Rural à habitat dispersé non périurbain
01013,Arandas,64,10.3,84.4097222222222,18.1,7.800000000000001,75.72815533980584,Rural à habitat dispersé non périurbain
01014,Arbent,1588,5.5,1197.32864173224,5.5,0,0,Urbain
01015,Arboys en Bugey,204,5.4,291.392295700795,5.4,0,0,Rural à habitat dispersé non périurbain
01016,Arbigny,100,10.6,205.89519650655,14.7,4.1,38.679245283018865,Rural à habitat dispersé périurbain
01017,Argis,144,16.7,116.53375028092,16.7,0,0,Rural à habitat dispersé non périurbain
01019,Armix,4,0.2,15.5769230769231,92.8,92.6,46300,Rural à habitat dispersé non périurbain
01021,Ars-sur-Formans,432,9.65,648.817432986766,10.7,1.049999999999999,10.880829015544029,Bourgs ruraux périurbains
01022,Artemare,432,6.7,468.560249808554,11.3204996171076,4.6204996171076,68.96268085235225,Bourgs ruraux non périurbains
01023,Asnières-sur-Saône,24,3.7,55,12.5,8.8,237.83783783783787,Rural à habitat dispersé périurbain
01024,Attignat,940,11.9,1459.88674464046,11.9,0,0,Bourgs ruraux périurbains
01025,Bâgé-Dommartin,1260,10.9,1925,10.9,0,0,Rural à habitat dispersé périurbain
01026,Bâgé-le-Châtel,316,9.1,420,9.1,0,0,Bourgs ruraux périurbains
01027,Balan,712,8.7,1625.89144187892,3,-5.699999999999999,-65.51724137931033,Bourgs ruraux périurbains
01028,Baneins,216,19.55,306.032,14.9,-4.65,-23.785166240409207,Rural à habitat dispersé non périurbain
01029,Beaupont,152,5,263.898383990866,24,19,380,Rural à habitat dispersé périurbain
01030,Beauregard,348,5,425,9.4,4.4,88.00000000000001,Urbain
01031,Bellignat,1720,2.9,1410.25081486548,2.9,0,0,Urbain
01032,Béligneux,1092,6.5,1516.52505495404,16.1,9.600000000000001,147.6923076923077,Bourgs ruraux périurbains
01033,Valserhône,5505,2.8,5238.05109844286,2.8,0,0,Urbain
01034,Belley,3072,1.4,3340.20838642063,1.4,0,0,Urbain
01035,Belleydoux,148,16,125.811688311688,16,0,0,Rural à habitat dispersé périurbain
01036,Valromey-sur-Séran,388,8.3,608.03342839157,12.5,4.199999999999999,50.60240963855421,Rural à habitat dispersé non périurbain
01037,Bénonces,100,4.6,110.168745228302,27.8,23.200000000000003,504.3478260869567,Rural à habitat dispersé non périurbain
01038,Bény,288,15.7,351.523565363403,18.3,2.6000000000000014,16.560509554140136,Rural à habitat dispersé périurbain
01039,Béon,148,2.7,130.099452225889,14.2,11.5,425.9259259259259,Rural à habitat dispersé non périurbain
01040,Béréziat,156,8.9,187.317062686362,21.7,12.799999999999999,143.8202247191011,Rural à habitat dispersé périurbain
01041,Bettant,260,6.3,401.460210239534,6.3,0,0,Urbain
01042,Bey,104,11.5,179.087470044907,11.5,0,0,Rural à habitat dispersé périurbain
01043,Beynost,1472,15.8,2070,18.1,2.3000000000000007,14.556962025316459,Urbain
01044,Billiat,140,7.3,195.05462205857,7.3,0,0,Rural à habitat dispersé périurbain
