Commune_Number,Commune_Name,EPCI_Number,Very_Low_Income_Population_Count,Very_Low_Income_Population_Percent
1001,L'Abergement-Clémenciat,200069193,nd,4.1
1002,L'Abergement-de-Varey,240100883,nd,4.9
1004,Ambérieu-en-Bugey,240100883,nd,4.9
1005,Ambérieux-en-Dombes,200042497,nd,3.3
1006,Ambléon,200040350,nd,6.5
1007,Ambronay,240100883,nd,4.9
1008,Ambutrix,240100883,nd,4.9
1009,Andert-et-Condon,200040350,nd,6.5
1010,Anglefort,200070852,nd,4.8
1011,Apremont,200042935,nd,7.7
1012,Aranc,200042935,nd,7.7
1013,Arandas,240100883,nd,4.9
1014,Arbent,200042935,nd,7.7
1015,Arboys en Bugey,200040350,nd,6.5
1016,Arbigny,200071371,nd,3.9
1017,Argis,240100883,nd,4.9
1019,Armix,200040350,nd,6.5
1021,Ars-sur-Formans,200042497,nd,3.3
1022,Artemare,200040350,nd,6.5
1023,Asnières-sur-Saône,200071371,nd,3.9
1024,Attignat,200071751,nd,6.6
1025,Bâgé-Dommartin,200071371,nd,3.9
1026,Bâgé-le-Châtel,200071371,nd,3.9
1027,Balan,240100610,nd,4
1028,Baneins,200069193,nd,4.1
1029,Beaupont,200071751,nd,6.6
1030,Beauregard,200042497,nd,3.3
1031,Bellignat,200042935,nd,7.7
1032,Béligneux,240100610,nd,4
1033,Valserhône,240100891,nd,7.1
1034,Belley,200040350,nd,6.5
1035,Belleydoux,200042935,nd,7.7
1036,Valromey-sur-Séran,200040350,nd,6.5
1037,Bénonces,240100883,nd,4.9
1038,Bény,200071751,nd,6.6
1039,Béon,200040350,nd,6.5
1040,Béréziat,200071751,nd,6.6
1041,Bettant,240100883,nd,4.9
1042,Bey,200070555,nd,3.6
1043,Beynost,240100800,3.1,4.9
1044,Billiat,240100891,nd,7.1
1045,Birieux,200069193,nd,4.1
1046,Biziat,200070555,nd,3.6
1047,Blyes,240100883,nd,4.9
1049,La Boisse,240100610,nd,4
1050,Boissey,200071371,nd,3.9
1051,Bolozon,200042935,nd,7.7
1052,Bouligneux,200069193,nd,4.1
1053,Bourg-en-Bresse,200071751,nd,6.6
1054,Bourg-Saint-Christophe,240100883,nd,4.9
1056,Boyeux-Saint-Jérôme,200029999,nd,4.5
1057,Boz,200071371,nd,3.9
1058,Brégnier-Cordon,200040350,nd,6.5
1060,Brénod,200042935,nd,7.7
1061,Brens,200040350,nd,6.5
1062,Bressolles,240100610,nd,4
1063,Brion,200042935,nd,7.7
1064,Briord,240100883,nd,4.9
1065,Buellas,200071751,nd,6.6
1066,La Burbanche,200040350,nd,6.5
1067,Ceignes,200042935,nd,7.7
1068,Cerdon,200029999,nd,4.5
1069,Certines,200071751,nd,6.6
1071,Cessy,240100750,nd,11.6
1072,Ceyzériat,200071751,nd,6.6
1073,Ceyzérieu,200040350,nd,6.5
1074,Chalamont,200069193,nd,4.1
1075,Chaleins,200070118,nd,3.1
1076,Chaley,240100883,nd,4.9
1077,Challes-la-Montagne,200029999,nd,4.5
1078,Challex,240100750,nd,11.6
1079,Champagne-en-Valromey,200040350,nd,6.5
1080,Champdor-Corcelles,200042935,nd,7.7
1081,Champfromier,240100891,nd,7.1
1082,Chanay,240100891,nd,7.1
1083,Chaneins,200069193,nd,4.1
1084,Chanoz-Châtenay,200070555,nd,3.6
1085,La Chapelle-du-Châtelard,200069193,nd,4.1
1087,Charix,200042935,nd,7.7
1088,Charnoz-sur-Ain,240100883,nd,4.9
1089,Château-Gaillard,240100883,nd,4.9
1090,Châtenay,200069193,nd,4.1
1092,Châtillon-la-Palud,200069193,nd,4.1
1093,Châtillon-sur-Chalaronne,200069193,nd,4.1
1094,Chavannes-sur-Reyssouze,200071371,nd,3.9
1095,Nivigne et Suran,200071751,nd,6.6
1096,Chaveyriat,200070555,nd,3.6
1098,Chazey-Bons,200040350,nd,6.5
1099,Chazey-sur-Ain,240100883,nd,4.9
1100,Cheignieu-la-Balme,200040350,nd,6.5
1101,Chevillard,200042935,nd,7.7
1102,Chevroux,200071371,nd,3.9
1103,Chevry,240100750,nd,11.6
1104,Chézery-Forens,240100750,nd,11.6
1105,Civrieux,200042497,nd,3.3
1106,Cize,200071751,nd,6.6
1107,Cleyzieu,240100883,nd,4.9
1108,Coligny,200071751,nd,6.6
1109,Collonges,240100750,nd,11.6
1110,Colomieu,200040350,nd,6.5
1111,Conand,240100883,nd,4.9
1112,Condamine,200042935,nd,7.7
1113,Condeissiat,200069193,nd,4.1
1114,Confort,240100891,nd,7.1
1115,Confrançon,200071751,nd,6.6
1116,Contrevoz,200040350,nd,6.5
1117,Conzieu,200040350,nd,6.5
1118,Corbonod,200070852,nd,4.8
1121,Corlier,200042935,nd,7.7
1123,Cormoranche-sur-Saône,200070555,nd,3.6
1124,Cormoz,200071751,nd,6.6
1125,Corveissiat,200071751,nd,6.6
1127,Courmangoux,200071751,nd,6.6
1128,Courtes,200071751,nd,6.6
1129,Crans,200069193,nd,4.1
1130,Bresse Vallons,200071751,nd,6.6
1133,Cressin-Rochefort,200040350,nd,6.5
1134,Crottet,200070555,nd,3.6
1135,Crozet,240100750,nd,11.6
1136,Cruzilles-lès-Mépillat,200070555,nd,3.6
1138,Culoz,200040350,nd,6.5
1139,Curciat-Dongalon,200071751,nd,6.6
1140,Curtafond,200071751,nd,6.6
1141,Cuzieu,200040350,nd,6.5
1142,Dagneux,240100610,nd,4
1143,Divonne-les-Bains,240100750,nd,11.6
1145,Dompierre-sur-Veyle,200071751,nd,6.6
1146,Dompierre-sur-Chalaronne,200069193,nd,4.1
1147,Domsure,200071751,nd,6.6
1148,Dortan,200042935,nd,7.7
1149,Douvres,240100883,nd,4.9
1150,Drom,200071751,nd,6.6
1151,Druillat,200071751,nd,6.6
1152,Échallon,200042935,nd,7.7
1153,Échenevex,240100750,nd,11.6
1155,Évosges,200042935,nd,7.7
1156,Faramans,240100883,nd,4.9
1157,Fareins,200042497,nd,3.3
1158,Farges,240100750,nd,11.6
1159,Feillens,200071371,nd,3.9
1160,Ferney-Voltaire,240100750,nd,11.6
1162,Flaxieu,200040350,nd,6.5
1163,Foissiat,200071751,nd,6.6
1165,Francheleins,200070118,nd,3.1
1166,Frans,200042497,nd,3.3
1167,Garnerans,200070118,nd,3.1
1169,Genouilleux,200070118,nd,3.1
1170,Béard-Géovreissiat,200042935,nd,7.7
1171,Géovreisset,200042935,nd,7.7
1173,Gex,240100750,nd,11.6
1174,Giron,240100891,nd,7.1
1175,Gorrevod,200071371,nd,3.9
1177,Grand-Corent,200071751,nd,6.6
1179,Grièges,200070555,nd,3.6
1180,Grilly,240100750,nd,11.6
1181,Groissiat,200042935,nd,7.7
1183,Guéreins,200070118,nd,3.1
1184,Hautecourt-Romanèche,200071751,nd,6.6
1185,Plateau d'Hauteville,200042935,nd,7.7
1187,Haut Valromey,200040350,nd,6.5
1188,Illiat,200070118,nd,3.1
1189,Injoux-Génissiat,240100891,nd,7.1
1190,Innimond,240100883,nd,4.9
1191,Izenave,200042935,nd,7.7
1192,Izernore,200042935,nd,7.7
1193,Izieu,200040350,nd,6.5
1194,Jassans-Riottier,200040590,nd,8.3
1195,Jasseron,200071751,nd,6.6
1196,Jayat,200071751,nd,6.6
1197,Journans,200071751,nd,6.6
1198,Joyeux,240100883,nd,4.9
1199,Jujurieux,200029999,nd,4.5
1200,Labalme,200029999,nd,4.5
1202,Lagnieu,240100883,nd,4.9
1203,Laiz,200070555,nd,3.6
1204,Le Poizat-Lalleyriat,200042935,nd,7.7
1206,Lantenay,200042935,nd,7.7
1207,Lapeyrouse,200069193,nd,4.1
1208,Lavours,200040350,nd,6.5
1209,Léaz,240100750,nd,11.6
1210,Lélex,240100750,nd,11.6
1211,Lent,200071751,nd,6.6
1212,Lescheroux,200071751,nd,6.6
1213,Leyment,240100883,nd,4.9
1214,Leyssard,200042935,nd,7.7
1215,Surjoux-Lhopital,240100891,nd,7.1
1216,Lhuis,240100883,nd,4.9
1219,Lompnas,240100883,nd,4.9
1224,Loyettes,240100883,nd,4.9
1225,Lurcy,200070118,nd,3.1
1227,Magnieu,200040350,nd,6.5
1228,Maillat,200042935,nd,7.7
1229,Malafretaz,200071751,nd,6.6
1230,Mantenay-Montlin,200071751,nd,6.6
